nome,ruolo,squadra,quotazione,fantamedia,gol,assist,voto_medio,note
Svilar,P,Roma,18.0,75.0,0,0,75.0,
Martinez Jo.,P,Inter,17.0,63.0,0,0,63.0,
Carnesecchi,P,Atalanta,16.0,52.0,0,0,52.0,
Butez,P,Como,16.0,54.0,0,0,54.0,
Vicario,P,Juventus,16.0,58.0,0,0,58.0,
Maignan,P,Milan,15.0,50.0,0,0,50.0,
De Gea,P,Fiorentina,13.0,40.0,0,0,40.0,
Meret,P,Napoli,11.0,53.0,0,0,53.0,
Skorupski,P,Bologna,10.0,36.0,0,0,36.0,
Caprile,P,Cagliari,9.0,28.0,0,0,28.0,
Mandas,P,Lazio,9.0,32.0,0,0,32.0,
Falcone,P,Lecce,8.0,30.0,0,0,30.0,
Okoye,P,Udinese,9.0,29.0,0,0,29.0,
Perri,P,Torino,9.0,26.0,0,0,26.0,
Bijlow,P,Genoa,8.0,17.0,0,0,17.0,
Daffara,P,Parma,7.0,10.0,0,0,10.0,
Muric,P,Sassuolo,7.0,15.0,0,0,15.0,
Stankovic F.,P,Venezia,6.0,12.0,0,0,12.0,
Palmisani,P,Frosinone,4.0,12.0,0,0,12.0,
Thiam,P,Monza,5.0,11.0,0,0,11.0,
Milinkovic-Savic V.,P,Napoli,5.0,7.0,0,0,7.0,
Desplanches,P,Frosinone,2.0,3.0,0,0,3.0,
Provedel,P,Inter,2.0,5.0,0,0,5.0,
Sportiello,P,Atalanta,1.0,1.0,0,0,1.0,
Happonen,P,Bologna,1.0,1.0,0,0,1.0,
Pessina Mas.,P,Bologna,1.0,1.0,0,0,1.0,
Sherri,P,Cagliari,1.0,1.0,0,0,1.0,
Tornqvist,P,Como,1.0,1.0,0,0,1.0,
Vigorito,P,Como,1.0,1.0,0,0,1.0,
Christensen O.,P,Fiorentina,1.0,1.0,0,0,1.0,
Lezzerini,P,Fiorentina,1.0,1.0,0,0,1.0,
Lolic,P,Frosinone,1.0,1.0,0,0,1.0,
Sommariva,P,Genoa,1.0,1.0,0,0,1.0,
Stolz,P,Genoa,1.0,1.0,0,0,1.0,
Di Gennaro,P,Inter,1.0,1.0,0,0,1.0,
Pinsoglio,P,Juventus,1.0,1.0,0,0,1.0,
Motta,P,Lazio,1.0,1.0,0,0,1.0,
Renzetti,P,Lazio,1.0,1.0,0,0,1.0,
Terracciano,P,Milan,1.0,1.0,0,0,1.0,
Torriani,P,Milan,1.0,1.0,0,0,1.0,
Strajnar,P,Monza,1.0,1.0,0,0,1.0,
Contini,P,Napoli,1.0,1.0,0,0,1.0,
Corvi,P,Parma,1.0,10.0,0,0,10.0,
De Marzi,P,Roma,1.0,1.0,0,0,1.0,
Gollini,P,Roma,1.0,1.0,0,0,1.0,
Russo A.,P,Sassuolo,1.0,1.0,0,0,1.0,
Turati,P,Sassuolo,1.0,1.0,0,0,1.0,
Mascardi,P,Torino,1.0,13.0,0,0,13.0,
Paleari,P,Torino,1.0,1.0,0,0,1.0,
Siviero,P,Torino,1.0,1.0,0,0,1.0,
Padelli,P,Udinese,1.0,1.0,0,0,1.0,
Piana,P,Udinese,1.0,1.0,0,0,1.0,
Grandi,P,Venezia,1.0,1.0,0,0,1.0,
Pozzi,P,Venezia,1.0,1.0,0,0,1.0,
Vismara,P,Atalanta,1.0,1.0,0,0,1.0,
Satalino,P,Sassuolo,1.0,1.0,0,0,1.0,
Penev,P,Lecce,1.0,1.0,0,0,1.0,
Pisseri,P,Frosinone,1.0,1.0,0,0,1.0,
Radunovic,P,Cagliari,1.0,1.0,0,0,1.0,
Montipò,P,Venezia,1.0,1.0,0,0,1.0,
Bleve,P,Lecce,1.0,1.0,0,0,1.0,
Grabara,P,Juventus,1.0,1.0,0,0,1.0,
